id,x,y,size,frame,track
1,956.6243654822335,216.96192893401016,394,283,1
1,955.7619047619048,253.07142857142858,126,284,2
2,952.1662468513854,215.09319899244332,794,284,1
3,957.9705882352941,180.11764705882354,34,284,3
1,952.6289855072464,260.3072463768116,345,285,2
2,948.0802005012531,214.70509607351713,1197,285,1
3,953.8804347826087,177.0326086956522,92,285,3
1,947.4868154158215,260.90669371196753,493,286,2
2,944.5544735240414,214.91113816189898,1643,286,1
3,951.17,173.915,200,286,3
4,960,145,1,286,4
1,959.25,283.0833333333333,12,287,5
2,939.1567010309278,260.459793814433,485,287,2
3,941.7363636363636,216.5040909090909,2200,287,1
4,948.0448717948718,172.58333333333334,312,287,3
5,955.6478873239437,143.95774647887325,71,287,4
1,955.9172413793103,280.2551724137931,145,288,5
2,931.7530864197531,260.3168724279835,486,288,2
3,938.8971428571429,218.41,2800,288,1
4,944.8871331828442,172.31828442437924,443,288,3
5,951.8253968253969,142.76984126984127,126,288,4
1,937.1350633428689,223.25337147527586,4894,289,1
2,947.5,141.89361702127658,188,289,4
1,935.3803823131879,219.49217995752076,5179,290,1
2,917.8139534883721,260.5919661733615,473,290,2
3,944.140221402214,141.35424354243543,271,290,4
1,931.9038494439692,220.0114627887083,5845,291,1
2,959.2,295.5,10,291,5
3,911.5753715498938,261.3545647558386,471,291,2
4,939.9050445103858,140.8753709198813,337,291,4
1,928.0125332915557,221.20820930596898,6383,292,1
2,905.2753303964757,261.9162995594714,454,292,2
3,937.744131455399,140.5093896713615,426,292,4
1,924.5416786432883,222.62719172175912,6958,293,1
2,899.3056179775281,262.54606741573036,445,293,2
3,958.5714285714286,262.57142857142856,14,293,5
4,934.9980732177264,139.9306358381503,519,293,4
1,920.6620171673819,223.3104881974249,7456,294,1
2,893.019002375297,263.10688836104515,421,294,2
3,950.6666666666666,262.3333333333333,3,294,5
4,931.8062992125984,139.4,635,294,4
1,916.7455278407659,223.20735701688082,7938,295,1
2,886.4630541871921,263.3817733990148,406,295,2
3,933.3162684869169,140.66666666666666,879,295,4
1,912.1952248884602,222.31918485469674,8293,296,1
